"ID","name","year","forecast","rank"
40,"Manakara Atsimo","1991",29661.248321625,26
40,"Manakara Atsimo","1992",31025.8266105702,30
40,"Manakara Atsimo","1993",28914.456611796,19
40,"Manakara Atsimo","1994",32532.2841150965,35
40,"Manakara Atsimo","1995",30874.5545008355,29
40,"Manakara Atsimo","1996",28674.9037021425,17
40,"Manakara Atsimo","1997",25805.2476293618,7
40,"Manakara Atsimo","1998",24142.0995477895,3
40,"Manakara Atsimo","1999",26749.7341050154,9
40,"Manakara Atsimo","2000",28196.9370071228,13
40,"Manakara Atsimo","2001",28836.7266981097,18
40,"Manakara Atsimo","2002",28478.0270790483,14
40,"Manakara Atsimo","2003",31445.215926818,33
40,"Manakara Atsimo","2004",29573.1402572895,25
40,"Manakara Atsimo","2005",30862.9584783224,28
40,"Manakara Atsimo","2006",31143.4339100241,31
40,"Manakara Atsimo","2007",25224.6213064123,4
40,"Manakara Atsimo","2008",28649.2848898684,16
40,"Manakara Atsimo","2009",27750.0047153048,12
40,"Manakara Atsimo","2010",23863.5847514912,2
40,"Manakara Atsimo","2011",29434.4329532434,23
40,"Manakara Atsimo","2012",29265.1808671097,21
40,"Manakara Atsimo","2013",29286.635035864,22
40,"Manakara Atsimo","2014",29212.053037989,20
40,"Manakara Atsimo","2015",28569.1720743289,15
40,"Manakara Atsimo","2016",25392.2606034517,5
40,"Manakara Atsimo","2017",29563.9624424671,24
40,"Manakara Atsimo","2018",30812.5681281272,27
40,"Manakara Atsimo","2019",31494.3618980548,34
40,"Manakara Atsimo","2020",22471.7050637631,1
40,"Manakara Atsimo","2021",26818.9661342851,10
40,"Manakara Atsimo","2022",25484.7027162325,6
40,"Manakara Atsimo","2023",31213.848105364,32
40,"Manakara Atsimo","2024",26565.5787563245,8
40,"Manakara Atsimo","2025",27737.0177479364,11
90,"Toliary-I","1991",4903.277608,7
90,"Toliary-I","1992",6650.0581429,27
90,"Toliary-I","1993",5904.867268,21
90,"Toliary-I","1994",3735.2685439,1
90,"Toliary-I","1995",6586.9216697,25
90,"Toliary-I","1996",6635.22384065,26
90,"Toliary-I","1997",4465.0830828,4
90,"Toliary-I","1998",8536.6861734,34
90,"Toliary-I","1999",7510.96808695,30
90,"Toliary-I","2000",5968.71119135,22
90,"Toliary-I","2001",5654.58239975,18
90,"Toliary-I","2002",4471.7931629,5
90,"Toliary-I","2003",5403.95269255,12
90,"Toliary-I","2004",5601.2316304,16
90,"Toliary-I","2005",5574.57627685,14
90,"Toliary-I","2006",5261.8525763,11
90,"Toliary-I","2007",5428.869233,13
90,"Toliary-I","2008",5901.3902086,20
90,"Toliary-I","2009",5853.8563371,19
90,"Toliary-I","2010",8584.5692737,35
90,"Toliary-I","2011",4851.599868,6
90,"Toliary-I","2012",4996.1693681,8
90,"Toliary-I","2013",7654.6327656,31
90,"Toliary-I","2014",5593.0546708,15
90,"Toliary-I","2015",4216.2440678,3
90,"Toliary-I","2016",7741.0111682,32
90,"Toliary-I","2017",6722.5144286,28
90,"Toliary-I","2018",5008.9135042,9
90,"Toliary-I","2019",3815.17889745,2
90,"Toliary-I","2020",6874.11049065,29
90,"Toliary-I","2021",6505.9345132,24
90,"Toliary-I","2022",7758.64597575,33
90,"Toliary-I","2023",5190.3675973,10
90,"Toliary-I","2024",5652.9687161,17
90,"Toliary-I","2025",6255.8188747,23
97,"Toliary-II","1991",9726.14959252055,9
97,"Toliary-II","1992",12513.7538535071,27
97,"Toliary-II","1993",11427.5662990255,22
97,"Toliary-II","1994",7739.1794166112,1
97,"Toliary-II","1995",12329.6098631339,24
97,"Toliary-II","1996",12680.2504360425,28
97,"Toliary-II","1997",8677.99775889731,4
97,"Toliary-II","1998",15140.9078455418,34
97,"Toliary-II","1999",13940.0237476877,30
97,"Toliary-II","2000",11180.5955651565,20
97,"Toliary-II","2001",10501.3416936891,14
97,"Toliary-II","2002",8921.48976875284,5
97,"Toliary-II","2003",10532.2654629157,15
97,"Toliary-II","2004",10936.2618638357,18
97,"Toliary-II","2005",10876.6591575786,16
97,"Toliary-II","2006",10120.5220950127,11
97,"Toliary-II","2007",10221.1411949724,12
97,"Toliary-II","2008",11207.1838481339,21
97,"Toliary-II","2009",11141.9808029334,19
97,"Toliary-II","2010",15886.6749003088,35
97,"Toliary-II","2011",9395.13090734915,6
97,"Toliary-II","2012",9574.30953383924,7
97,"Toliary-II","2013",13941.2435075135,31
97,"Toliary-II","2014",10262.3206748867,13
97,"Toliary-II","2015",7938.68079402834,2
97,"Toliary-II","2016",14216.6912582755,32
97,"Toliary-II","2017",12509.6073634908,26
97,"Toliary-II","2018",9707.54280588881,8
97,"Toliary-II","2019",8001.8077109908,3
97,"Toliary-II","2020",12741.7305443966,29
97,"Toliary-II","2021",12362.2705857018,25
97,"Toliary-II","2022",14574.8733526331,33
97,"Toliary-II","2023",9811.81681947239,10
97,"Toliary-II","2024",10933.2727114901,17
97,"Toliary-II","2025",11852.2238665503,23
